downloadId,accession
1750,edgar/data/1750/000104746912007300/Financial_Report.xls
1800,edgar/data/1800/000104746912001216/Financial_Report.xls
1961,edgar/data/1961/000126493112000233/Financial_Report.xls
2034,edgar/data/2034/000118811212002832/Financial_Report.xls
2098,edgar/data/2098/000102660812000017/Financial_Report.xls
2178,edgar/data/2178/000000217812000010/Financial_Report.xls
2186,edgar/data/2186/000135448812001013/Financial_Report.xls
2488,edgar/data/2488/000119312512075837/Financial_Report.xls
2491,edgar/data/2491/000104746912008599/Financial_Report.xls
2969,edgar/data/2969/000119312512476878/Financial_Report.xls
3116,edgar/data/3116/000115752312001414/Financial_Report.xls
3146,edgar/data/3146/000027759512000007/Financial_Report.xls
3153,edgar/data/3153/000009212212000016/Financial_Report.xls
3197,edgar/data/3197/000119312512119293/Financial_Report.xls
3453,edgar/data/3453/000000345312000026/Financial_Report.xls
3499,edgar/data/3499/000000349912000005/Financial_Report.xls
3545,edgar/data/3545/000089109212007249/Financial_Report.xls
3570,edgar/data/3570/000000357012000016/Financial_Report.xls
3952,edgar/data/3952/000119312512129474/Financial_Report.xls
4127,edgar/data/4127/000000412712000042/Financial_Report.xls
4187,edgar/data/4187/000093041312001385/Financial_Report.xls
4281,edgar/data/4281/000119312512065493/Financial_Report.xls
4447,edgar/data/4447/000119312512081827/Financial_Report.xls
4457,edgar/data/4457/000000445712000023/Financial_Report.xls
4515,edgar/data/4515/000119312512063506/Financial_Report.xls
4611,edgar/data/4611/000117152012000278/Financial_Report.xls
4828,edgar/data/4828/000110465912075840/Financial_Report.xls
4904,edgar/data/4904/000000490412000013/Financial_Report.xls
4962,edgar/data/4962/000119312512077400/Financial_Report.xls
4969,edgar/data/4969/000119312512117442/Financial_Report.xls
4977,edgar/data/4977/000119312512081967/Financial_Report.xls
5117,edgar/data/5117/000143774912012904/Financial_Report.xls
5133,edgar/data/5133/000119312512194474/Financial_Report.xls
5272,edgar/data/5272/000104746912001369/Financial_Report.xls
5513,edgar/data/5513/000000551312000006/Financial_Report.xls
5768,edgar/data/5768/000110465912042544/Financial_Report.xls
5981,edgar/data/5981/000119312512106666/Financial_Report.xls
6176,edgar/data/6176/000119312512116379/Financial_Report.xls
6201,edgar/data/6201/000119312512063516/Financial_Report.xls
6207,edgar/data/6207/000000620712000009/Financial_Report.xls
6281,edgar/data/6281/000000628112000010/Financial_Report.xls
6284,edgar/data/6284/000119312512415437/Financial_Report.xls
6292,edgar/data/6292/000104746912001384/Financial_Report.xls
6314,edgar/data/6314/000143774912008058/Financial_Report.xls
6494,edgar/data/6494/000114544312000257/Financial_Report.xls
6732,edgar/data/6732/000101041212000055/Financial_Report.xls
6769,edgar/data/6769/000119312512086217/Financial_Report.xls
6845,edgar/data/6845/000119312512196043/Financial_Report.xls
6879,edgar/data/6879/000000490412000013/Financial_Report.xls
6885,edgar/data/6885/000000688512000026/Financial_Report.xls
6951,edgar/data/6951/000000695112000018/Financial_Report.xls
6955,edgar/data/6955/000119312512437816/Financial_Report.xls
7032,edgar/data/7032/000000703212000039/Financial_Report.xls
7039,edgar/data/7039/000000703912000003/Financial_Report.xls
7084,edgar/data/7084/000000708412000034/Financial_Report.xls
7286,edgar/data/7286/000110465912012301/Financial_Report.xls
7323,edgar/data/7323/000006598412000067/Financial_Report.xls
7332,edgar/data/7332/000000733212000003/Financial_Report.xls
7431,edgar/data/7431/000119312512079973/Financial_Report.xls
7536,edgar/data/7536/000152650812000005/Financial_Report.xls
7623,edgar/data/7623/000143774912001749/Financial_Report.xls
7789,edgar/data/7789/000119312512082677/Financial_Report.xls
8063,edgar/data/8063/000119312512101055/Financial_Report.xls
8146,edgar/data/8146/000119312512150141/Financial_Report.xls
8177,edgar/data/8177/000114036112017382/Financial_Report.xls
8192,edgar/data/8192/000119312512075999/Financial_Report.xls
8328,edgar/data/8328/000000832812000018/Financial_Report.xls
8411,edgar/data/8411/000000841112000066/Financial_Report.xls
8497,edgar/data/8497/000119312512164603/Financial_Report.xls
8504,edgar/data/8504/000114420412021708/Financial_Report.xls
8670,edgar/data/8670/000120677412003634/Financial_Report.xls
8818,edgar/data/8818/000119312512078843/Financial_Report.xls
8855,edgar/data/8855/000119312512117643/Financial_Report.xls
8858,edgar/data/8858/000000885812000011/Financial_Report.xls
8868,edgar/data/8868/000000886812000010/Financial_Report.xls
8947,edgar/data/8947/000119312512225281/Financial_Report.xls
